Company Name,Industry,Symbol,Series,ISIN Code
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
