Company Name,Industry,Symbol,Series,ISIN Code
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
